iter	Logloss
0	0.6635227139
1	0.6354648515
2	0.6086253797
3	0.5831960544
4	0.5577936123
5	0.5352728778
6	0.5143419105
7	0.4941753505
8	0.4755989497
9	0.4574850038
10	0.4392684343
11	0.4234810456
12	0.4082824199
13	0.3937564508
14	0.3804106706
15	0.3673400602
16	0.3551537071
17	0.343442009
18	0.3329595145
19	0.3229956686
20	0.3131532248
21	0.3040877621
22	0.2947392368
23	0.2865485344
24	0.2787335549
25	0.2707628956
26	0.2639359428
27	0.2574957709
28	0.2514015299
29	0.245627185
30	0.2403266087
31	0.2352857022
32	0.2301749561
33	0.2253824729
34	0.2209900114
35	0.2166196948
36	0.2125743325
37	0.2086680599
38	0.2049654653
39	0.2013662916
40	0.1979567355
41	0.1950248346
42	0.1922285694
43	0.1895723926
44	0.1870513366
45	0.1843782421
46	0.1816032434
47	0.1792542309
48	0.1768340414
49	0.1746376384
50	0.1725263536
51	0.1704916187
52	0.1686455281
53	0.1668936846
54	0.1651109514
55	0.1636914054
56	0.1620299087
57	0.1605081279
58	0.1590981123
59	0.157761216
60	0.1566257512
61	0.1553254693
62	0.1541391587
63	0.1531086642
64	0.1521244838
65	0.1511210663
66	0.1501268125
67	0.1492708223
68	0.1483697147
69	0.147608134
70	0.1467896944
71	0.1459816154
72	0.1452911638
73	0.1445715279
74	0.143818054
75	0.1432179302
76	0.142549725
77	0.1418735854
78	0.1410822486
79	0.1403227111
80	0.1397560851
81	0.1392116146
82	0.1384964749
83	0.1380620931
84	0.1375838118
85	0.136950452
86	0.136463013
87	0.1360537757
88	0.1354804686
89	0.1350592652
90	0.1347142484
91	0.1344146594
92	0.1340367272
93	0.1336909134
94	0.1334054264
95	0.1329437052
96	0.1326753249
97	0.1323281839
98	0.1319646193
99	0.1317057007
100	0.1313094209
101	0.1310123649
102	0.1307291329
103	0.1303686068
104	0.1300743407
105	0.1298304867
106	0.129548505
107	0.1293681469
108	0.1291962086
109	0.1290307212
110	0.1287607333
111	0.1285160206
112	0.1283433082
113	0.1282194983
114	0.1279663412
115	0.127766863
116	0.1275872804
117	0.1273715922
118	0.1272046759
119	0.1270872627
120	0.1270060932
121	0.1268167833
122	0.126644416
123	0.1264453372
124	0.1262573179
125	0.1261336851
126	0.1260028377
127	0.1258363355
128	0.1256630976
129	0.1255909988
130	0.1254152187
131	0.1252640136
132	0.1251512343
133	0.1250136956
134	0.1248637743
135	0.1247367737
136	0.1246125521
137	0.1245338221
138	0.1244790799
139	0.1243873994
140	0.1242873411
141	0.124195413
142	0.1240977708
143	0.1240286089
144	0.1239508186
145	0.1238861186
146	0.1238138729
147	0.1237316621
148	0.1236534103
149	0.1235751067
150	0.1234759405
151	0.1234082503
152	0.1233258704
153	0.1232342551
154	0.1231152809
155	0.1230546956
156	0.1229790264
157	0.1229132755
158	0.122815785
159	0.1227293748
160	0.1226606808
161	0.1226262355
162	0.1225648586
163	0.1224556749
164	0.1224043354
165	0.1223449638
166	0.1223005821
