iter	Passed	Remaining
0	12	8626
1	22	8179
2	34	8187
3	46	8240
4	57	8246
5	67	8064
6	80	8134
7	89	7937
8	97	7682
9	107	7623
10	117	7529
11	127	7519
12	138	7488
13	150	7543
14	162	7612
15	174	7676
16	188	7765
17	201	7827
18	214	7890
19	224	7838
20	236	7864
21	249	7905
22	260	7886
23	272	7881
24	283	7850
25	294	7838
26	306	7853
27	317	7817
28	324	7719
29	336	7723
30	342	7584
31	354	7597
32	365	7586
33	378	7607
34	392	7667
35	403	7644
36	415	7644
37	423	7572
38	434	7565
39	445	7556
40	455	7522
41	459	7399
42	467	7336
43	476	7302
44	481	7193
45	492	7187
46	503	7182
47	515	7191
48	525	7176
49	537	7174
50	549	7182
51	558	7159
52	569	7147
53	580	7134
54	592	7145
55	597	7059
56	608	7056
57	620	7058
58	632	7065
59	644	7064
60	654	7044
61	664	7035
62	674	7012
63	680	6953
64	687	6902
65	697	6891
66	708	6883
67	715	6840
68	726	6836
69	736	6814
70	744	6788
71	756	6791
72	769	6799
73	780	6794
74	790	6777
75	801	6771
76	812	6764
77	824	6764
78	834	6752
79	845	6739
80	857	6742
81	868	6736
82	879	6730
83	891	6726
84	903	6724
85	913	6715
86	924	6707
87	937	6713
88	948	6702
89	961	6709
90	973	6704
91	984	6695
92	994	6686
93	1007	6687
94	1020	6690
95	1031	6680
96	1037	6643
97	1049	6638
98	1061	6637
99	1068	6600
100	1079	6594
101	1091	6593
102	1099	6562
103	1111	6559
104	1122	6553
105	1133	6547
106	1144	6536
107	1157	6537
108	1166	6516
109	1178	6511
110	1190	6510
111	1202	6505
112	1214	6500
113	1223	6482
114	1236	6481
115	1246	6468
116	1252	6434
117	1264	6428
118	1275	6421
119	1287	6416
120	1297	6401
121	1309	6395
122	1320	6389
123	1332	6382
124	1342	6370
125	1352	6356
126	1364	6348
127	1376	6343
128	1388	6341
129	1399	6332
130	1412	6327
131	1423	6319
132	1434	6310
133	1446	6305
134	1459	6302
135	1471	6296
136	1483	6291
137	1494	6281
138	1506	6277
139	1518	6269
140	1530	6262
141	1542	6255
142	1554	6249
143	1565	6241
144	1575	6226
145	1585	6213
146	1597	6204
147	1609	6200
148	1620	6190
149	1633	6184
150	1644	6174
151	1656	6169
152	1670	6167
153	1680	6152
154	1690	6141
155	1697	6116
156	1710	6110
157	1723	6109
158	1735	6101
159	1745	6087
160	1756	6078
161	1768	6069
162	1779	6059
163	1791	6050
164	1803	6044
165	1814	6034
166	1826	6025
167	1833	6002
168	1846	5996
169	1856	5985
170	1866	5971
171	1877	5961
172	1888	5949
173	1900	5942
174	1912	5933
175	1922	5921
176	1930	5900
177	1941	5888
178	1951	5876
179	1963	5868
180	1975	5861
181	1987	5853
182	1998	5843
183	2011	5836
184	2023	5829
185	2035	5823
186	2047	5814
187	2060	5807
188	2072	5801
189	2084	5792
190	2096	5784
191	2109	5778
192	2120	5767
193	2132	5759
194	2144	5752
195	2155	5739
196	2166	5730
197	2177	5718
198	2188	5708
199	2200	5699
200	2213	5693
201	2224	5682
202	2230	5657
203	2242	5649
204	2254	5641
205	2266	5633
206	2278	5624
207	2286	5607
208	2299	5599
209	2310	5588
210	2322	5580
211	2334	5571
212	2344	5559
213	2357	5551
214	2368	5542
215	2382	5536
216	2390	5518
217	2401	5507
218	2412	5497
219	2425	5489
220	2438	5483
221	2449	5473
222	2460	5462
223	2472	5452
224	2483	5440
225	2494	5430
226	2502	5411
227	2514	5403
228	2526	5396
229	2538	5385
230	2551	5378
231	2563	5370
232	2574	5359
233	2586	5349
234	2597	5338
235	2605	5321
236	2617	5311
237	2628	5301
238	2634	5280
239	2646	5270
240	2658	5261
241	2668	5249
242	2676	5232
243	2688	5222
244	2694	5202
245	2706	5193
246	2718	5183
247	2729	5172
248	2740	5162
249	2754	5157
250	2760	5136
251	2771	5125
252	2780	5110
253	2792	5101
254	2803	5091
255	2816	5082
256	2827	5072
257	2839	5062
258	2849	5050
259	2861	5039
260	2873	5031
261	2884	5020
