applicationdate,application_month_dt,salary_6m_amt,trans_out_cashless_sum_3m_amt,avg_salary_6m_amt,active_deal_3m_amt,conf_income_amt,trans_out_services_sum_3m_pct,trans_in_cashless_sum_1m_amt,dti_app_inc_w_services,trans_out_cash_sum_1m_amt,trans_out_cash_sum_6m_amt,trans_in_sum_12m_amt,trans_in_sum_e4m_amt,trans_out_services_sum_1m_amt,trans_out_cash_sum_6m_pct,trans_out_sum_e2m_amt,trans_out_sum_3m_amt,dti_app_inc,trans_out_sum_e5m_amt,trans_out_sum_e3m_amt,trans_out_sum_12m_amt,trans_in2out_cnt_12m_pct,trans_in_sum_3m_amt,trans_out_cashless_sum_12m_amt,salary_1mto12m_amt,trans_in_sum_e3m_amt,trans_in2out_sum_3m_pct,trans_out_cash_sum_12m_amt,trans_out_services_sum_12m_amt,active_deal_12m_amt,trans_in_return_sum_12m_amt,salary_1m_amt,add_income_amt,active_outstanding_amt,trans_out_cashless_sum_1m_amt,total_income_amt,trans_in_sum_1m_amt,active_credit_limit,all_debt_to_income,trans_out_sum_1m_amt,main_income_amt,trans_out_cashless_sum_6m_pct,salary_1mto3m_amt,salary_1mto6m_amt,dti_salary,trans_in2out_sum_12m_pct,salary_to_income,active_dealcnt_1m_to_3m_pct,active_dealcnt_1m_to_6m_pct,firth_deal_age_month,last_deal_age_month,del_12m_cnt,salary_6m_cnt,salary_month_12m_cnt,del_6m_cnt,active_deal_cnt,active_deal_12m_cnt,trans_out_sum_6m_cnt,until_close_month_cnt,salary_12m_cnt,trans_in_sum_12m_cnt,trans_in_sum_3m_cnt,trans_out_sum_3m_cnt,region,reg_region,industry_group,industry,live_region,bki_less_6m_flg,deal_type_6_flg,employmenttype,inquiry_1_week,gender,bki_del59_12m_flg,education_group,education,deal_type_9_flg,zp_segment,bki_del90_6m_flg,saleschannel,loanpurpose,age,raw_lgbm,score4,score_list,util_score,logreg_pd,logreg_pd_isoton,new_gl_90_12
2019-04-04,2019-04-01,,7486.091351351351,,1587234.0,50000.0,3.11,0.0,22190.07526169369,8000.0,689000.0,9035.827665936204,5000.0,14756.039978027344,30.28,37785.36284934318,558663.9100494385,0.44,48417.88000488281,38567.20401250634,819547.5299835205,0.0200108828828828,5004.795945945946,23188.4682972973,,0.0,0.01,689000.0,107361.52998352052,1587413.0396810812,0.0,,,1587234.0,0.0,50000.0,0.327027027027027,2424920.0,31.74,22800.35622892634,50043.71162162162,0.93,,,,0.01,,1.0,1.0,85.0,4.0,0,77,48,0,2,2,202,390,111,4,2,128,6,7,0,2,6,1,1,0,1,1,0,1,4,1,0,0,3,13,13,0.0267757771177852,0.010761,850.0,0.1489757922481122,0.0105188680908019,0.0072332730560578,0
2019-04-04,2019-04-01,,0.0913513513513513,,668482.0,100000.0,0.89,0.0,36749.80526169369,55000.0,297000.0,2328.7477175109134,102.12000274658205,13983.43009185791,4.3,88401.77260886467,212724.3897743225,0.37,134303.78992462158,66964.91404973778,377048.1796989441,0.0100108828828828,2297.7159975206528,2.468297297297297,,2190.800048828125,0.01,297000.0,79928.17969894409,668661.0396810811,2190.800048828125,,,668482.0,0.0,100000.0,0.327027027027027,1274011.0,6.68,69047.7463427569,100043.71162162162,0.0,,,,0.01,,1.0,0.0,134.0,7.0,0,77,48,0,3,5,160,654,111,2,2,100,6,7,1,32,6,0,0,0,1,0,0,1,4,1,0,0,7,13,34,0.0348990469908781,0.021137,779.0,0.1149801829062734,0.0239436739474802,0.0209042294603791,0
2019-04-04,2019-04-01,,,,599954.0,150000.0,,,25430.60526169369,,,,,,,,,0.17,,,,,,,,,,,,600133.0396810811,,,,599954.0,,150000.0,,950000.0,4.0,,150043.71162162162,,,,,,,1.0,0.0,133.0,4.0,0,77,48,0,4,8,1022,213,111,224,105,607,69,70,0,28,69,1,0,0,1,1,0,0,2,1,1,0,3,14,31,0.0201480997591913,0.007818,793.0,0.0711747101906357,0.0142836250168053,0.0123339658444022,0
2019-04-04,2019-04-01,,0.0913513513513513,,1873540.0,120000.0,0.78,0.0,24110.01526169369,155000.0,511800.0,207035.8276659362,10000.0,37226.37005615234,2.66,304713.35295020376,541833.6001548767,0.2,114500.0,147383.13398992334,666333.6001548767,0.0500108828828828,10004.795945945943,5502.468297297297,,0.0,0.02,511800.0,149033.6001548767,1873719.0396810807,0.0,,,1873540.0,0.0,120000.0,30000.327027027022,1892000.0,15.61,192270.6863070514,120043.71162162162,0.03,,,,0.31,,0.0,0.0,43.0,1.0,0,77,48,0,1,3,183,374,111,9,1,174,73,74,0,2,73,1,1,0,1,1,0,0,2,0,0,0,3,13,8,0.0126853573163667,0.018954,913.0,0.1593707504037277,0.0045801509879745,0.0026737967914438,0
2019-04-04,2019-04-01,,0.0913513513513513,,873396.0,60000.0,0.49,0.0,23778.62526169369,1000.0,250100.0,499135.8276659362,42000.0,5885.0,36.33,7233.172846901779,10958.759979248049,0.4,260989.1499633789,698.3839441469656,380972.36990356445,0.2900108828828828,132004.79594594595,57302.468297297295,,32000.0,12.05,298300.0,25372.369903564453,873575.0396810811,0.0,,,873396.0,0.0,60000.0,23000.327027027022,1128232.0,14.56,6929.316250898995,60043.71162162162,7.74,,,,1.31,,1.0,0.0,100.0,6.0,0,77,48,0,3,4,68,654,111,23,11,19,6,7,0,2,6,0,0,0,1,1,0,0,2,1,0,0,3,13,20,0.029793453279039,0.106394,871.0,0.1919852276738316,0.013572507972859,0.0104166666666666,0
2019-04-05,2019-04-01,,6000.091351351352,,289838.0,382667000000000.0,0.28,0.0,8997.605261693694,39000.0,131700.0,35.82766593620648,0.0,10.0,2.4,25314.412837136155,78983.98999977112,0.0,21640.0,25009.753939264152,189023.98999977112,1.0882882882882884e-05,4.795945945945946,13502.468297297297,,0.0,0.0,160300.0,15183.989999771118,290017.0396810811,0.0,,,289838.0,15959.0,382667000000000.0,0.327027027027027,400000.0,0.0,55013.31625089899,382667000000043.7,0.25,,,,0.0,,1.0,1.0,133.0,26.0,14,77,48,7,2,2,47,297,111,0,0,31,73,4,0,2,3,0,0,0,1,1,1,0,2,1,0,1,5,14,18,0.0268144949121538,0.016677,793.0,0.3779521740743667,0.0262338301401767,0.0238095238095238,0
2019-04-09,2019-04-01,,,,11799.0,65000.0,,,4.605261693693693,,,,,,,,,0.0,,,,,,,,,,,,11978.039681081082,,,,11799.0,,65000.0,,12000.0,0.18,,65043.71162162162,,,,,,,1.0,1.0,1.0,1.0,0,77,48,0,1,1,1022,223,111,224,105,607,69,43,2,12,42,1,0,0,1,0,0,0,2,0,1,0,3,13,25,0.0353830551645363,0.008392,602.0,0.0877839677991457,0.114806998945605,0.1137724550898203,1
2019-04-09,2019-04-01,,36000.09135135135,,1119994.0,100000.0,2.0,0.0,18630.37526169369,79000.0,652653.140625,49535.82766593621,5000.0,36104.57000732422,5.67,86192.43270407952,480667.6202087402,0.19,154035.69012451172,85928.43399297509,1770373.672538757,0.0100108828828828,5004.795945945946,55102.468297297295,,0.0,0.01,1183553.140625,531720.5319137573,1120173.0396810812,0.0,,,1119994.0,0.0,100000.0,0.327027027027027,2010000.0,11.2,115148.8862582232,100043.71162162162,0.34,,,,0.03,,0.0,0.0,131.0,11.0,3,77,48,0,4,9,246,655,111,5,1,125,69,28,1,32,27,0,1,0,17,0,1,0,2,0,0,0,3,14,26,0.0370120150591234,0.013637,841.0,0.1792408036725981,0.0146463328842625,0.0123339658444022,0
2019-04-09,2019-04-01,,,,7517.0,65000.0,,,604.6052616936937,,,,,,,,,0.01,,,,,,,,,,,,7696.039681081081,,,,7517.0,,65000.0,,6000.0,0.12,,55043.71162162162,,,,,,,1.0,1.0,53.0,15.0,5,77,48,1,3,4,1022,209,111,224,105,607,63,64,3,23,63,0,0,0,1,1,1,1,4,0,0,1,3,13,6,0.0454463534905802,0.058099,607.0,0.2538114251019869,0.1862226462353454,0.1678832116788321,0
2019-04-09,2019-04-01,,0.0913513513513513,,0.0,1568572.0,0.03,0.0,4.605261693693693,299300.0,471200.0,835.8276659362065,0.0,10634.640182495115,1.52,186962.13285361565,382054.4200286865,0.0,113873.04006958008,76016.45395147118,495927.4600982666,0.0200108828828828,4.795945945945946,2.468297297297297,,0.0,0.0,471200.0,24727.4600982666,179.03968108108108,0.0,,,0.0,0.0,1568572.0,0.327027027027027,265000.0,0.0,309978.9564333941,1568615.7116216216,0.0,,,,0.0,,1.0,1.0,109.0,9.0,0,77,48,0,2,3,66,511,111,1,0,33,61,62,0,28,61,0,0,0,1,0,0,0,2,0,0,0,3,14,32,0.011166433906633,0.020288,916.0,0.0169805096811452,0.0035053849097479,0.0026737967914438,0
